PollingPlace,Address
Eastwood BENNELONG PPVC,"8 Lakeside Rd, 1 Glen St, EASTWOOD NSW 2122"
Eastwood Heights,"Eastwood Heights Public School, 9A Lincoln St, EASTWOOD NSW 2122"
Eastwood West,"Corrective Services Academy, 66 Terry Rd, EASTWOOD NSW 2122"
EAV Bennelong PPVC,"AEC National EAV Centre, 10 Mort St, CANBERRA ACT 2601"
EAV COVID19 Bennelong PPVC,"AEC National EAV2 Centre, 10 Mort St, CANBERRA ACT 2601"
Epping,"Epping Church of Christ, 31 Bridge St, EPPING NSW 2121"
Epping BENNELONG PPVC,"Boronia Grove Community Centre, 40 Victoria St, EPPING NSW 2121"
Epping East,"Epping Public School, 1-18 Norfolk Rd, EPPING NSW 2121"
Epping Heights,"Epping Heights Public School, 128 Kent St, EPPING NSW 2121"
Epping North,"Epping North Public School, 89-119 Boundary Rd, NORTH EPPING NSW 2121"
Epping West,"Epping West Public School, 96 Carlingford Rd, EPPING NSW 2121"
Ermington Central,"Rydalmere East Public School, 41 Spurway St, ERMINGTON NSW 2115"
Ermington West (Bennelong),"Ermington West Public School, 383 Vignes St, ERMINGTON NSW 2115"
Gladesville (Bennelong),"Gladesville Public School, 178 Victoria Rd, GLADESVILLE NSW 2111"
Gladesville North,"Gladesville Sporties, 181A Ryde Rd, GLADESVILLE NSW 2111"
Haymarket BENNELONG PPVC,"Sydney Masonic Centre, 66 Goulburn St, SYDNEY NSW 2000"
Hunters Hill North (Bennelong),"Boronia Park Public School, 113 Pittwater Rd, HUNTERS HILL NSW 2110"
Macquarie Park,"Morling College, 122 Herring Rd, MACQUARIE PARK NSW 2113"
Macquarie Park South,"Kent Road Public School, 45-61 Herring Rd, MARSFIELD NSW 2122"
Marsfield,"Macquarie Anglican Church (St Georges Pre-school), 100 Balaclava Rd, EASTWOOD NSW 2122"
Marsfield North,"Epping Boys High School, 213 Vimiera Rd, MARSFIELD NSW 2122"
Meadowbank,"Boronia Grove Community Centre, 40 Victoria St, EPPING NSW 2121"
Melrose Park,"Melrose Park Public School, 110 Wharf Rd, MELROSE PARK NSW 2114"
North Ryde,"Truscott Street Public School, 38 Truscott St, NORTH RYDE NSW 2113"
North Ryde Central,"North Ryde Public School, 154 Coxs Rd, NORTH RYDE NSW 2113"
North Ryde Heights,"North Ryde Community Church, 2 Cutler Pde, NORTH RYDE NSW 2113"
Putney,"Putney Public School, 193 Morrison Rd, PUTNEY NSW 2112"
Putney West,"Tennyson Pre-school Kindergarten, 15A Stanbury St, GLADESVILLE NSW 2111"
Ryde,"The Living Way Church, 85 North Rd, RYDE NSW 2112"
Ryde Central,"St Annes Anglican Church, 42 Church St, RYDE NSW 2112"
Ryde Heights,"Meadowbank Public School, 6 Rhodes St, Meadowbank NSW 2114"
Ryde South,"St Charles' Catholic Primary School, 582 Victoria Rd, RYDE NSW 2112"
Special Hospital Team 1,"Dalton Gardens, 678 Victoria Rd, RYDE NSW 2112"
Sydney (Bennelong),"York Events, Lvl 2 95-99 York St, SYDNEY NSW 2000"
Sydney BENNELONG PPVC,"York Events, Lvl 2 95-99 York St, SYDNEY NSW 2000"
Top Ryde,"Ryde Public School, 18 Pope St, RYDE NSW 2112"
West Ryde,"West Ryde Public School, 6 Endeavour St, WEST RYDE NSW 2114"
West Ryde BENNELONG PPVC,"St Annes Anglican Church, 42 Church St, RYDE NSW 2112"
West Ryde Central,"Smalls Road Public School, 3B Smalls Rd, RYDE NSW 2112"
Annangrove (Berowra),"Annangrove Public School, 185 Annangrove Rd, ANNANGROVE NSW 2156"
Arcadia,"Arcadia Public School, 140 Arcadia Rd, ARCADIA NSW 2159"
Asquith (Berowra),"Asquith Public School, 3 Dudley St, ASQUITH NSW 2077"
Baulkham Hills BEROWRA PPVC,"2 Solent Cct, NORWEST NSW 2153"
Beecroft,"Beecroft Public School, 90-98 Beecroft Rd, BEECROFT NSW 2119"
Beecroft North,"Beecroft Community Hall, 109-111 Beecroft Rd, BEECROFT NSW 2119"
Berowra,"Berowra Public School, 2-4 Hillcrest Rd, BEROWRA NSW 2081"
Berowra Heights,"Wideview Public School, 37 Wideview Rd, BEROWRA HEIGHTS NSW 2082"
Berowra PPVC,"1st Berowra Scout Group Hall, 27 High St, BEROWRA NSW 2081"
Brooklyn,"Brooklyn Public School, 106 Brooklyn Rd, BROOKLYN NSW 2083"
Carlingford Heights,"Murray Farm Public School, 18 Tracey Ave, CARLINGFORD NSW 2118"
Castle Hill North (Berowra),"Samuel Gilbert Public School, 20 Gilbert Rd, CASTLE HILL NSW 2154"
Central Sydney BEROWRA PPVC,"TAFE NSW Ultimo Campus, 2-10 Mary Ann St, ULTIMO NSW 2007"
Cheltenham,"Cheltenham Girls High School, 161-175 Beecroft Rd, CHELTENHAM NSW 2119"
Cherrybrook,"Cherrybrook Public School, 131 New Line Rd, CHERRYBROOK NSW 2126"
Cherrybrook BEROWRA PPVC,"1st Cherrybrook Scout Hall, Lot 2126, Lot 2 Appletree Dr, CHERRYBROOK NSW 2126"
Cherrybrook Central,"Cherrybrook Girl Guides Hall, cnr Shepherds Dr & Macquarie Dr, CHERRYBROOK NSW 2126"
Cherrybrook North,"John Purchase Public School, 46-60 Purchase Rd, CHERRYBROOK NSW 2126"
Cherrybrook South,"West Pennant Hills Scout Hall, 2 Wilga St, WEST PENNANT HILLS NSW 2125"
Cowan,"Cowan Public School, cnr Fraser Rd & Chandler Ave, COWAN NSW 2081"
Dural,"Dural Public School, 622 Old Northern Rd, DURAL NSW 2158"
EAV Berowra PPVC,"AEC National EAV Centre, 10 Mort St, CANBERRA ACT 2601"
EAV COVID19 Berowra PPVC,"AEC National EAV2 Centre, 10 Mort St, CANBERRA ACT 2601"
Epping BEROWRA PPVC,"Boronia Grove Community Centre, 40 Victoria St, EPPING NSW 2121"
Galston,"Galston Public School, 1-5 School Rd, GALSTON NSW 2159"
Glenhaven,"Glenhaven Public School, 74A Glenhaven Rd, GLENHAVEN NSW 2156"
Glenorie,"Glenorie Public School, 1731-1739 Old Northern Rd, GLENORIE NSW 2157"
Glenorie West,"Hillside Public School, 122 Cattai Ridge Rd, GLENORIE NSW 2157"
Haymarket BEROWRA PPVC,"Sydney Masonic Centre, 66 Goulburn St, SYDNEY NSW 2000"
Hornsby (Berowra),"TAFE NSW Hornsby (Northern Sydney Institute), 205 Peats Ferry Rd, HORNSBY NSW 2077"
Hornsby BEROWRA PPVC,"TAFE NSW Hornsby (Northern Sydney Institute), 205 Peats Ferry Rd, HORNSBY NSW 2077"
Hornsby Central (Berowra),"Hornsby Girls High School, 12 Edgeworth David Ave, HORNSBY NSW 2077"
Hornsby Heights,"Hornsby Heights Public School, 8-20 Somerville Rd, HORNSBY HEIGHTS NSW 2077"
Hornsby North,"Hornsby North Public School, 52 Ida St, HORNSBY NSW 2077"
Hornsby South,"Hornsby South Public School, 57-63 Clarke Rd, HORNSBY NSW 2077"
Hornsby West (Berowra),"Hornsby War Memorial Hall, 2 High St, HORNSBY NSW 2077"
Kenthurst,"Kenthurst Public School, 111 Kenthurst Rd, KENTHURST NSW 2156"
Maroota,"Maroota Public School, 4540 Old Northern Rd, MAROOTA NSW 2756"
Maroota South,"Midway Christian Centre, 5 Sackville Ferry Rd, SOUTH MAROOTA NSW 2756"
Middle Dural,"Middle Dural Public School, 1251 Old Northern Rd, MIDDLE DURAL NSW 2158"
Mount Colah,"Mount Colah Public School, 19-21 Telopea St, MOUNT COLAH NSW 2079"
Mount Kuring-Gai,"Mount Kuring-Gai Public School, 2-14 Leeming St, MOUNT KURING-GAI NSW 2080"
Normanhurst (Berowra),"Normanhurst Public School, 2-12 Normanhurst Rd, NORMANHURST NSW 2076"
Normanhurst West,"Normanhurst West Public School, 2-18 Dartford Rd, THORNLEIGH NSW 2120"
Pennant Hills,"Pennant Hills High School, 19-43 Laurence St, PENNANT HILLS NSW 2120"
Pennant Hills BEROWRA PPVC,"1st Floor, 114 Yarrara Road, 114 Yarrara Rd, PENNANT HILLS NSW 2120"
Rogans Hill North,"Oakhill Drive Public School, 1-5 Oakhill Dr, CASTLE HILL NSW 2154"
Special Hospital Team 1 (2),"Cherrybrook Christian Care Centre, 3 Kitchener Rd, CHERRYBROOK NSW 2126"
Sydney BEROWRA PPVC,"York Events, Lvl 2 95-99 York St, SYDNEY NSW 2000"
Thornleigh,"Chinese & Australian Baptist Church, 235 Pennant Hills Rd, THORNLEIGH NSW 2120"
Westleigh,"Thornleigh West Public School, 18 Giblett Ave, THORNLEIGH NSW 2120"
West Pennant Hills,"West Pennant Hills Community Church, 41-43 Eaton Rd, WEST PENNANT HILLS NSW 2125"
West Pennant Hills Central,"West Pennant Hills Public School, 1 Church St, WEST PENNANT HILLS NSW 2125"
West Pennant Hills North (Berowra),"West Pennant Hills Community Centre, 42 Hill Road, WEST PENNANT HILLS NSW 2125"
Wisemans Ferry,"Wisemans Ferry Public School, 5540-5542 Old Northern Rd, WISEMANS FERRY NSW 2775"
Auburn,"Auburn Public School, 131 Auburn Rd, AUBURN NSW 2144"
Auburn Central,"St Thomas Anglican Church Auburn, 3A Provincial St, AUBURN NSW 2144"
Auburn East,"St Joseph the Worker Hall, cnr Wellington Rd & Renshaw Ave, AUBURN NSW 2144"
Auburn North,"Auburn Girls High School, Hunter St, AUBURN NSW 2144"
Auburn West,"Auburn West Public School, 92 Chiswick Rd, AUBURN NSW 2144"
Bankstown (Blaxland),"Bankstown Public School, 61 Restwell St, BANKSTOWN NSW 2200"
