PollingPlace,Address
Wentworth Point,"Pulse Function Centre, 9 The Crescent, WENTWORTH POINT NSW 2127"
Wentworth Point North,"Wentworth Point Public School, 3-7 Burroway Rd, WENTWORTH POINT NSW 2127"
Ballina,"Ballina Coast High School, 57 Cherry St, BALLINA NSW 2478"
Ballina East,"Southern Cross Public School, 2-40 Chickiba Dr, EAST BALLINA NSW 2478"
Ballina North,"Richmond Christian College, 7 Gallans Rd, BALLINA NSW 2478"
Ballina RICHMOND PPVC,"Ballina Indoor Sports Centre, 63 Cherry St, BALLINA NSW 2478"
Ballina West,"Emmanuel Anglican College, 62 Horizon Dr, WEST BALLINA NSW 2478"
Bangalow,"Bangalow Public School, 45 Byron St, BANGALOW NSW 2479"
Banora Point,"Centaur Primary School, 1 Eucalyptus Dr, BANORA POINT NSW 2486"
Banora Point North,"St Joseph's College Banora Point, 2 Doyle Dr, BANORA POINT NSW 2486"
Banora Point South,"Banora Point Public School, 97 Pioneer Pde, BANORA POINT NSW 2486"
Banora Point West,"Banora Point High School, 2 Eucalyptus Dr, BANORA POINT NSW 2486"
Bilambil,"Bilambil Public School, 418 Bilambil Rd, BILAMBIL NSW 2486"
Billinudgel,"Billi Lids Long Day Care Centre, cnr Wilfred St & The Tunnel Rd, BILLINUDGEL NSW 2483"
Bogangar,"Bogangar Public School, 123 Tweed Coast Rd, BOGANGAR NSW 2488"
Brunswick Heads,"Brunswick Heads Public School, 12 Fingal St, BRUNSWICK HEADS NSW 2483"
Burringbar,"Burringbar School of Arts Hall, 1 Old Pacific Hwy, BURRINGBAR NSW 2483"
Byron Bay,"Byron Bay Public School, 17 Kingsley St, BYRON BAY NSW 2481"
Byron Bay PPVC,"Marvell Hall, 37 Marvell St, BYRON BAY NSW 2481"
Byron Bay South,"Byron Bay High School, 2 Arakwal Ct, BYRON BAY NSW 2481"
Casuarina,"Casuarina Hockey Club, 1 Barclay Dr, CASUARINA NSW 2487"
Casuarina PPVC,"Casuarina Hockey Club, 1 Barclay Dr, CASUARINA NSW 2487"
Chillingham,"Chillingham Hall, cnr Satinwood Place & Numinbah Rd, CHILLINGHAM NSW 2484"
Chinderah,"Smiley Tots, 65 Wommin Bay Rd, CHINDERAH NSW 2487"
Coorabell,"Coorabell Hall, 565 Coolamon Scenic Dr, COORABELL NSW 2479"
Crabbes Creek,"Crabbes Creek Community Hall, 29 Crabbes Creek Rd, CRABBES CREEK NSW 2483"
Crystal Creek,"Crystal Creek Public School, 813 Numinbah Rd, CRYSTAL CREEK NSW 2484"
Dungay,"Dungay Public School, 305 Tomewin Rd, DUNGAY NSW 2484"
Durrumbul,"Durrumbul Public School, 27 Durrumbul Rd, MAIN ARM NSW 2482"
EAV COVID19 Richmond PPVC,"AEC National EAV2 Centre, 10 Mort St, CANBERRA ACT 2601"
EAV Richmond PPVC,"AEC National EAV Centre, 10 Mort St, CANBERRA ACT 2601"
Eureka,"Eureka Public School, 438 Eureka Rd, EUREKA NSW 2480"
Ewingsdale,"Cape Byron Rudolf Steiner School, 216 Balraith La, EWINGSDALE NSW 2481"
Ewingsdale PPVC,"Cavanbah Centre, 249 Ewingsdale Rd, BYRON BAY NSW 2481"
Federal,"Jasper Corner Federal Hall, 466 Federal Dr, FEDERAL NSW 2480"
Fernleigh,"Fernleigh Public School, 451 Fernleigh Rd, FERNLEIGH NSW 2479"
Hastings Point,"North Star Holiday Resort, 1 Tweed Coast Rd, HASTINGS POINT NSW 2489"
Kingscliff,"St Anthony's Primary School, 23 Boomerang St, KINGSCLIFF NSW 2487"
Kingscliff South,"Kingscliff TAFE, 806 Cudgen Rd, KINGSCLIFF NSW 2487"
Lennox Head,"Lennox Head Public School, 25 Byron St, LENNOX HEAD NSW 2478"
Lismore RICHMOND PPVC,"12 & 14 Carrington St, LISMORE NSW 2480"
Mullumbimby,"St John's Primary School Hall, 11 Murwillumbah Rd, MULLUMBIMBY NSW 2482"
Mullumbimby South,"Mullumbimby Civic Memorial Hall, 55 Dalley St, MULLUMBIMBY NSW 2482"
Murwillumbah,"Murwillumbah Public School, Prince Street, MURWILLUMBAH NSW 2484"
Murwillumbah East,"Murwillumbah East Public School, 45 George St, MURWILLUMBAH NSW 2484"
Murwillumbah PPVC,"Jessie McMillan Hall, 16 Wollumbin St, MURWILLUMBAH NSW 2484"
Murwillumbah West,"Wollumbin High School, 94 North Arm Rd, MURWILLUMBAH NSW 2484"
Newrybar,"Newrybar Public School, 10 Broken Head Rd, NEWRYBAR NSW 2479"
Ocean Shores,"Ocean Shores Community Centre, 55 Rajah Rd, OCEAN SHORES NSW 2483"
Ocean Shores North,"Ocean Shores Public School, 166 Shara Blvd, OCEAN SHORES NSW 2483"
Pottsville,"St Ambrose Primary School, 1 Charles St, POTTSVILLE NSW 2489"
Pottsville Beach,"Pottsville Beach Public School, 85 Tweed Coast Rd, POTTSVILLE NSW 2489"
Skennars Head,"Xavier Catholic College, Xavier College, 2 Redford Dr, SKENNARS HEAD NSW 2478"
Stokers Siding,"Stokers Siding Public School, 246 Stokers Rd, STOKERS SIDING NSW 2484"
Suffolk Park,"Suffolk Park Community Hall, cnr Clifford & Alcorn St, SUFFOLK PARK NSW 2481"
Terranora,"Terranora Public School, 650 Terranora Rd, TERRANORA NSW 2486"
Tintenbar,"Teven-Tintenbar Public School, 28 Fredericks La, TINTENBAR NSW 2478"
Tumbulgum,"Tumbulgum Hall, cnr Riverside Dr & Government Rd, TUMBULGUM NSW 2490"
Tweed Heads,"Tweed Heads Public School, 1-5 Stuart St, TWEED HEADS NSW 2485"
Tweed Heads Central,"St Cuthbert's Anglican Church, 13 Powell St, TWEED HEADS NSW 2485"
Tweed Heads RICHMOND PPVC,"Twin Towns Masonic Centre, 8 Boyd St, TWEED HEADS NSW 2485"
Tweed Heads South,"Tweed Heads South Public School, 10 Heffron St, TWEED HEADS SOUTH NSW 2486"
Tweed Heads South PPVC,"The Hub Baptist Tweed Heads, 19-21 Corporation Cct, TWEED HEADS SOUTH NSW 2486"
Tweed Heads West,"Seagulls Club - Office Space Ground Floor, 54-68 Gollan Dr, TWEED HEADS WEST NSW 2485"
Tyalgum,"Tyalgum Public School, 2 Coolman St, TYALGUM NSW 2484"
Uki,"Uki Public School, 1463 Kyogle Rd, UKI NSW 2484"
Wilsons Creek,"Wilsons Creek Community Hall, 728 Wilsons Creek Rd, WILSONS CREEK NSW 2482"
Alectown,"Soldiers Memorial Hall, 36 Goobang St, ALECTOWN NSW 2870"
Ardlethan,"Ardlethan CWA Hall, 35 Warri St, ARDLETHAN NSW 2665"
Ariah Park,"Ariah Park Central School, 1 Harrison St, ARIAH PARK NSW 2665"
Ashmont,"Ashmont Public School, 23 Bardia St, ASHMONT NSW 2650"
Barmedman,"Barmedman Public School, Robertson St, BARMEDMAN NSW 2668"
Bedgerabong,"Bedgerabong Public School, 7 Bedgerabong Rd, BEDGERABONG NSW 2871"
Billimari,"Billimari Public Hall, 60 Logan St, BILLIMARI NSW 2804"
Bogan Gate,"Bogan Gate Public School, 5-9 Bogan St, BOGAN GATE NSW 2876"
Bribbaree,"Bribbaree Memorial Hall, 15 Weedallion St, BRIBBAREE NSW 2594"
Caragabal,"Caragabal Public School, 4 Marsden St, CARAGABAL NSW 2810"
Charles Sturt University,"Joyes Hall, 286 Pine Gully Rd, CHARLES STURT UNIVERSITY NSW 2678"
Collingullie,"Collingullie Soldiers Memorial Hall, 14 Urana St, COLLINGULLIE NSW 2650"
Coolac,"Coolac Memorial Hall, 431 Coolac Rd, COOLAC NSW 2727"
Coolamon,"Coolamon Central School, 75 Methul St, COOLAMON NSW 2701"
Cootamundra,"Cootamundra Public School, 9 Cooper St, COOTAMUNDRA NSW 2590"
Cootamundra PPVC,"Cootamundra Town Hall, 81 Wallendoon St, COOTAMUNDRA NSW 2590"
Cootamundra West,"Cootamundra High School, 22 Poole St, COOTAMUNDRA NSW 2590"
Cowra,"Cowra Public School, 27 Vaux St, COWRA NSW 2794"
Cowra North,"Mulyan Public School, 88-94 Lachlan St, COWRA NSW 2794"
Cowra PPVC,"Cowra Uniting Church, 75A Darling St, COWRA NSW 2794"
Cowra West,"Cowra West Tennis Club, 1 Grenfell Rd, COWRA NSW 2794"
EAV COVID19 Riverina PPVC,"AEC National EAV2 Centre, 10 Mort St, CANBERRA ACT 2601"
EAV Riverina PPVC,"AEC National EAV Centre, 10 Mort St, CANBERRA ACT 2601"
Euberta,"Euberta Public Hall, 1543 Old Narrandera Rd, EUBERTA NSW 2650"
Forbes,"Forbes Town Hall  - Static, 2 Court St, FORBES NSW 2871"
Forbes North,"Forbes High School, 18 Wyndham Ave, FORBES NSW 2871"
Forbes PPVC,"Forbes Town Hall, 2 Court St, FORBES NSW 2871"
Forbes South,"Forbes Tennis Club, 2-20 Church St, FORBES NSW 2871"
Forest Hill,"Forest Hill Public School, 3450 Sturt Hwy, FOREST HILL NSW 2651"
Ganmain,"Ganmain Hall, 88 Ford St, GANMAIN NSW 2702"
Glenfield Park,"Glenfield Park Scout Hall - Static, 59 Dalman Pkwy, GLENFIELD PARK NSW 2650"
Gooloogong,"Gooloogong War Memorial Hall, 50 Main St, GOOLOOGONG NSW 2805"
Greenethorpe,"Greenethorpe Soldiers Memorial Hall, 1 Louth St, GREENETHORPE NSW 2809"
Grenfell,"Grenfell Uniting Church Hall, 10 Camp St, GRENFELL NSW 2810"
Gundagai,"Gundagai High School, 157 Hanley St, GUNDAGAI NSW 2722"
Gundagai South,"Gundagai South Public School, 43 Luke St, SOUTH GUNDAGAI NSW 2722"
Harden,"Harden Mechanics Institute Hall, 39-41 Neill St, HARDEN NSW 2587"
Illabo,"Illabo Public School, 11 Layton St, ILLABO NSW 2590"
Jugiong,"Jugiong Memorial Hall, 299 Riverside Dr, JUGIONG NSW 2726"
Junee,"Athenium Theatre Junee, 89 Broadway St, JUNEE NSW 2663"
Junee East,"Junee High School, 52 Lydia St, JUNEE NSW 2663"
Junee PPVC,"Athenium Theatre, 89 Broadway, JUNEE NSW 2663"
Kapooka PPVC,"Boughton Centre, Blamey Barracks, KAPOOKA MILPO NSW 2661"
Koorawatha,"Koorawatha Public School, 19 Crowther St, KOORAWATHA NSW 2807"
Kooringal,"Sturt Public School, 62 White Ave, KOORINGAL NSW 2650"
Kooringal North,"Generocity Church, 194 Lake Albert Rd, KOORINGAL NSW 2650"
Ladysmith,"Ladysmith Public School, 1 Tywong St, LADYSMITH NSW 2652"
Lake Albert,"Lake Albert Public School, 120 Main St, LAKE ALBERT NSW 2650"
Lake Albert South,"Mater Dei Primary School Lake Albert, 63 Gregadoo Rd, LAKE ALBERT NSW 2650"
Lockhart,"Lockhart Central School, 80 Hebden St, LOCKHART NSW 2656"
Mangoplah,"Mangoplah Community Hall, 14 Kyeamba St, MANGOPLAH NSW 2652"
Marrar,"Marrar Memorial Hall, 5 See St, MARRAR NSW 2652"
Morongla Creek,"Morongla Creek Mechanics Institute Hall, 6150 Lachlan Valley Way, MORONGLA CREEK NSW 2794"
Mount Austin,"Mount Austin Public School, 150 Bourke St, MOUNT AUSTIN NSW 2650"
Murringo,"Murringo Public School, 91 Murringo Gap Rd, MURRINGO NSW 2586"
Murrumburrah,"Murrumburrah Public School, Albury St, MURRUMBURRAH NSW 2587"
Nangus,"Nangus Public Hall, 2188-2204 Nangus Rd, NANGUS NSW 2722"
Parkes,"Parkes Public School, 77-87 Currajong St, PARKES NSW 2870"
Parkes East,"Parkes East Primary School, 1-3 Thornbury St, PARKES NSW 2870"
Parkes North,"Parkes High School, 2 Albert St, PARKES NSW 2870"
Parkes PPVC,"Parkes Uniting Church, 17 Court St, PARKES NSW 2870"
Parkes South,"Middleton Public School, 17-19 Medlyn St, PARKES NSW 2870"
Parkes West,"Assemblies of God Hall, 7 Rees Ave, PARKES NSW 2870"
Peak Hill,"Peak Hill Central School, 132 Caswell St, PEAK HILL NSW 2869"
Pleasant Hills,"Pleasant Hills Public School, Cnr Rand St & Crawford St, PLEASANT HILLS NSW 2658"
Quandialla,"Quandialla Public School, 2 Third St, QUANDIALLA NSW 2721"
RAAF Wagga Wagga PPVC,"RAAF Base Wagga Wagga, Newton Road and Sturt Highway, FOREST HILL NSW 2651"
Stockinbingal,"Stockinbingal Public School, 7 Dudauman St, STOCKINBINGAL NSW 2725"
Tarcutta,"Tarcutta Memorial Hall, 26 Sydney St, TARCUTTA NSW 2652"
Tatton,"Lutheran Primary School Wagga Wagga, 1-17 Tamar Dr, TATTON NSW 2650"
Temora,"Temora Town Hall, 131 De Boos St, TEMORA NSW 2666"
Temora PPVC,"Temora Town Hall, 131 De Boos St, TEMORA NSW 2666"
Temora West,"St Johns Lutheran Church Hall, 114 Vesper St, TEMORA NSW 2666"
The Rock,"The Rock Central School, 6 Ford St, THE ROCK NSW 2655"
Tolland,"Red Hill Public School, 54-70 Raye St, TOLLAND NSW 2650"
Trundle,"Trundle War Memorial Hall, 54 Forbes St, TRUNDLE NSW 2875"
Tullamore,"Tullamore Central School, 2 Hinkler St, TULLAMORE NSW 2874"
Tumblong,"Tumblong War Memorial Hall, 1963 Adelong Rd, TUMBLONG NSW 2729"
Turvey Park,"Turvey Park Public School, 25-31 Halloran St, TURVEY PARK NSW 2650"
Ungarie,"Ungarie Central School, 1 Crown Camp Rd, UNGARIE NSW 2669"
Uranquinty,"Uranquinty Public School, 25 Uranquintry St, URANQUINTY NSW 2652"
Wagga Wagga,"Wesley Church Hall, 17-21 Johnston St, WAGGA WAGGA NSW 2650"
Wagga Wagga North,"North Wagga Public School, 54 Hampden Ave, NORTH WAGGA WAGGA NSW 2650"
Wagga Wagga PPVC,"2/77 Trail St, WAGGA WAGGA NSW 2650"
Wagga Wagga South,"South Wagga Public School, 140 Edward St, WAGGA WAGGA NSW 2650"
Wagga Wagga South PPVC,"Glenfield Park Scout Hall, 59 Dalman Pkwy, GLENFIELD PARK NSW 2650"
Wallendbeen,"Wallendbeen Memorial Hall, 16 King St, WALLENDBEEN NSW 2588"
Weethalle,"Weethalle Public School, 12 Wattle St, WEETHALLE NSW 2669"
West Wyalong,"West Wyalong High School, 30 Dumaresq St, WEST WYALONG NSW 2671"
Wombat,"Wombat Soldiers Memorial Hall, 76 Rose St, WOMBAT NSW 2587"
Woodstock,"Woodstock Public School, 17-19 Parkes St, WOODSTOCK NSW 2793"
Wyalong,"Old Wyalong Council Chambers - Static, 68 Neeld St, WYALONG NSW 2671"
Wyalong PPVC,"Old Wyalong Council Chambers Hall, 68 Neeld St, WYALONG NSW 2671"
Yerong Creek,"Yerong Creek Public School, 23-29 Cole St, YERONG CREEK NSW 2642"
Young,"Young Town Hall - Static, 189 Boorowa St, YOUNG NSW 2594"
Young North,"Young North Public School, 50 William St, YOUNG NSW 2594"
Young PPVC,"Young Town Hall, 189 Boorowa St, YOUNG NSW 2594"
Young South,"Young Public School, 19 Bruce St, YOUNG NSW 2594"
Avoca Beach,"Avoca Beach Public School, 95 The Round Dr, AVOCA BEACH NSW 2251"
Booker Bay,"Booker Bay Pre School, 32 Telopea St, BOOKER BAY NSW 2257"
Copacabana,"Copacabana Public School, 20 Pueblo St, COPACABANA NSW 2251"
Davistown,"Davistown Progress Association, 5 McCauley St, DAVISTOWN NSW 2251"
EAV COVID19 Robertson PPVC,"AEC National EAV2 Centre, 10 Mort St, CANBERRA ACT 2601"
EAV Robertson PPVC,"AEC National EAV Centre, 10 Mort St, CANBERRA ACT 2601"
Empire Bay,"Empire Bay Public School, 240-250 Empire Bay Dr, EMPIRE BAY NSW 2257"
Erina,"Erina High School, 152 The Entrance Rd, ERINA NSW 2250"
Erina Central,"Erina Community Trust Hall, 10 Karalta Rd, ERINA NSW 2250"
Erina Heights (Robertson),"Erina Heights Public School, 2 Serpentine Rd, ERINA HEIGHTS NSW 2260"
Erina ROBERTSON PPVC,"Impact Centre, 19 Chetwynd Rd, ERINA NSW 2250"
Erina South,"Green Point Community Centre, 96 Koolang Rd, GREEN POINT NSW 2251"
Ettalong,"Ettalong Beach Primary School, 23 Karingi St, ETTALONG BEACH NSW 2257"
Ettalong Central,"Ettalong 50 Plus Leisure and Learning, 5-7 Broken Bay Rd, ETTALONG BEACH NSW 2257"
Ettalong West,"Woy Woy South Primary School, 1 The School Mall, WOY WOY NSW 2256"
Gosford,"Hunter TAFE Gosford Campus, 121A Henry Parry Dr, GOSFORD NSW 2250"
Gosford East,"Gosford East Public School, 51 York St, EAST GOSFORD NSW 2250"
Gosford North,"Henry Kendall High School, 50-64 Faunce St W, GOSFORD NSW 2250"
Gosford ROBERTSON PPVC,"Gateway Building, Ground Floor, Suites 1 & 2,, 237 Mann St, GOSFORD NSW 2250"
Gosford West,"Point Clare Scout Hall, 1 Jirrah Ave, POINT CLARE NSW 2250"
Kariong,"Kariong Public School, 52 Langford Dr, KARIONG NSW 2250"
Kariong East,"Kariong Community Hall, 2 Dandaloo St, KARIONG NSW 2250"
Kincumber,"Kincumber Anglican Community Church, 167 Avoca Dr, KINCUMBER NSW 2251"
Kincumber Central,"Kincumber High School, 24-50 Bungoona Rd, KINCUMBER NSW 2251"
Mangrove Mountain,"Mangrove Mountain Memorial Club and Golf Course, 18 Hallards Rd, CENTRAL MANGROVE NSW 2250"
Mooney Mooney,"Former Mooney Mooney Public School, 1A Point Rd, MOONEY MOONEY NSW 2083"
Mount White,"Mount White Bushfire Brigade, 260 Pacific Hwy, MOUNT WHITE NSW 2250"
Narara South,"Glenvale Public School, 109 Manns Rd, NARARA NSW 2250"
Niagara Park (Robertson),"Niagara Park Public School, 205 Narara Valley Dr, NIAGARA PARK NSW 2250"
Ocean Beach,"Umina Beach Primary School, 14 Hobart Ave, UMINA BEACH NSW 2257"
Peats Ridge,"Peats Ridge Public School, 1231 Peats Ridge Rd, PEATS RIDGE NSW 2250"
Point Clare,"Point Clare Community Hall, 49 Brisbane Water Dr, POINT CLARE NSW 2250"
Pretty Beach,"Hardys Bay Community Church Hall, 114 Araluen Dr, HARDYS BAY NSW 2257"
Saratoga,"Saratoga Community Hall, 15-17 Kyeema Ave, SARATOGA NSW 2251"
Somersby,"Somersby Public School, 840 Wisemans Ferry Rd, SOMERSBY NSW 2250"
Spencer,"Spencer Community Hall, 4776 Wisemans Ferry Rd, SPENCER NSW 2775"
Springfield,"Chertsey Public School, 10 Willow Rd, SPRINGFIELD NSW 2250"
Terrigal,"Terrigal Primary School, 20 Havenview Rd, TERRIGAL NSW 2260"
Terrigal Lagoon,"1st Terrigal Scout Hall, 3 Terrigal Dr, TERRIGAL NSW 2260"
Terrigal South,"Terrigal CWA Hall, 10 Wilson Rd, TERRIGAL NSW 2260"
Terrigal West,"Terrigal Fifty Plus Leisure and Learning Centre, 3 Duffys Rd, TERRIGAL NSW 2260"
Umina,"Umina Uniting Church Community Centre, 346 Ocean Beach Rd, UMINA BEACH NSW 2257"
Umina Beach,"Umina Community Hall, 6 Sydney Ave, UMINA BEACH NSW 2257"
Umina Central,"Brisbane Water Secondary College Umina Campus, 120 Veron Rd, UMINA BEACH NSW 2257"
Wamberal (Robertson),"Wamberal Memorial Hall, 182 Ocean View Dr, WAMBERAL NSW 2260"
Woy Woy,"Brisbane Water Secondary College Woy Woy Campus, 53A Melba Rd, WOY WOY NSW 2256"
Woy Woy PPVC,"40 Blackwall Rd, 40 Blackwall Rd, WOY WOY NSW 2256"
Woy Woy South,"South Woy Woy Progress Association, 76 Woy Woy Rd, WOY WOY NSW 2256"
Wyoming (Robertson),"Wyoming Public School, 41 Maidens Brush Rd, WYOMING NSW 2250"
Wyong ROBERTSON PPVC,"Shop 4, 15 - 17 Anzac Rd, Shop 4, 15 - 17 Anzac Rd, TUGGERAH NSW 2259"
Adamstown Heights (Shortland),"Kotara High School, 65 Lexington Pde, ADAMSTOWN HEIGHTS NSW 2289"
Belmont,"All Saints' Belmont Anglican Church, 24 Church St, BELMONT NSW 2280"
Belmont Central,"Belmont Public School, 6 Livingstone St, BELMONT NSW 2280"
Belmont North,"Belmont Neighbourhood Centre, 359 Pacific Hwy, BELMONT NORTH NSW 2280"
Belmont PPVC,"Belmont Scout Hall, 52 Ernest St, BELMONT NSW 2280"
Belmont West,"Belmont High School, 424 Pacific Hwy, BELMONT NSW 2280"
Blacksmiths,"Blacksmiths Public School, Amaroo St, BLACKSMITHS NSW 2281"
Budgewoi,"Budgewoi Public School, Lukela Ave, BUDGEWOI NSW 2262"
Budgewoi Central,"Halekulani Community Hall, Noela Pl, BUDGEWOI NSW 2262"
Buff Point,"Buff Point Scout & Guide Hall, 48 Narambi Rd, BUFF POINT NSW 2262"
Cardiff,"Cardiff Public School, 64 Macquarie Rd, CARDIFF NSW 2285"
Cardiff Heights (Shortland),"Cardiff Heights Baptist Church, 35 Main Rd, CARDIFF HEIGHTS NSW 2285"
Cardiff North,"Cardiff North Public School, 59 Wansbeck Valley Rd, CARDIFF NSW 2285"
Cardiff South,"Cardiff South Public School, 9 Lake Ave, CARDIFF SOUTH NSW 2285"
Caves Beach,"Swansea High School, 78 Park Ave, CAVES BEACH NSW 2281"
Chain Valley Bay,"Chain Valley Bay Community Hall, 100 Scaysbrook Ave, CHAIN VALLEY BAY NSW 2259"
Charlestown,"Charlestown Public School, 15 Frederick St, CHARLESTOWN NSW 2290"
Charlestown East,"Charlestown East Public School, 90 James St, CHARLESTOWN NSW 2290"
Charlestown SHORTLAND PPVC,"224 Pacific Highway, 224 Pacific Hwy, CHARLESTOWN NSW 2290"
Charlestown South,"Charlestown South Public School, 9 Patricia Ave, CHARLESTOWN NSW 2290"
Charmhaven SHORTLAND PPVC,"Shops 6,7 & 8, 6 Botham Close, Shops 6,7 & 8, 6 Botham Close, CHARMHAVEN NSW 2263"
Dudley,"Dudley Public School, 124 Ocean St, DUDLEY NSW 2290"
EAV COVID19 Shortland PPVC,"AEC National EAV2 Centre, 10 Mort St, CANBERRA ACT 2601"
EAV Shortland PPVC,"AEC National EAV Centre, 10 Mort St, CANBERRA ACT 2601"
Edgeworth SHORTLAND PPVC,"Pasterfield Sports Complex, 18C Horizon Ave, CAMERON PARK NSW 2285"
Eleebana,"Eleebana Public School, 70 Ian St, ELEEBANA NSW 2282"
Floraville,"Floraville Public School, 78 Floraville Rd, FLORAVILLE NSW 2280"
Garden Suburb,"Garden Suburb Public School, 2A Prospect Rd, GARDEN SUBURB NSW 2289"
Gateshead,"Hunter Sports High School, 2 Pacific Hwy, GATESHEAD NSW 2290"
Gwandalan,"Gwandalan Public School, Kanangra Dr, GWANDALAN NSW 2259"
Hillsborough,"Hillsborough Public School, 83 Waratah Ave, CHARLESTOWN NSW 2290"
Jewells,"Jewells Public School, 20 Lepton Pde, JEWELLS NSW 2280"
Kahibah,"Kahibah Public School, 26A Frith St, KAHIBAH NSW 2290"
Kotara South (Shortland),"Kotara South Public School, 150 Rae Cres, KOTARA NSW 2289"
Lake Munmorah,"Lake Munmorah High School, Carters Rd, LAKE MUNMORAH NSW 2259"
Mannering Park,"Mannering Park Community Hall, 2W Dunvegan St, MANNERING PARK NSW 2259"
Marks Point,"Marks Point Public School, 2A Findon St, MARKS POINT NSW 2280"
Mount Hutton,"Mount Hutton Public School, 12 Dunkley Pde, MOUNT HUTTON NSW 2290"
Newcastle SHORTLAND PPVC,"2/239 King Street, 2/239 King St, NEWCASTLE NSW 2300"
Nords Wharf,"Nords Wharf Community Hall, 31 Marine Pde, NORDS WHARF NSW 2281"
Redhead,"Redhead Public School, 31 Hutchinson St, REDHEAD NSW 2290"
San Remo,"Northlakes Public School, 69 Goorama Ave, SAN REMO NSW 2262"
Speers Point,"Speers Point Public School, Bell St, SPEERS POINT NSW 2284"
Summerland Point,"Summerland Point Community Hall, Cams Blvd, SUMMERLAND POINT NSW 2259"
Swansea,"Swansea Public School, Rawson St, SWANSEA NSW 2281"
Swansea Central,"The Swansea Centre, 228 Pacific Hwy, SWANSEA NSW 2281"
Toukley SHORTLAND PPVC,"Shop 1, 256 Main Rd, Shop 1, 256 Main Rd, TOUKLEY NSW 2263"
Valentine,"Valentine Public School, Tallawalla Rd, VALENTINE NSW 2280"
Valentine West,"Valentine Progress Association Hall, 20 Allambee Pl, VALENTINE NSW 2280"
Wallsend SHORTLAND PPVC,"Maryland Conference Centre, 207 Maryland Dr, MARYLAND NSW 2287"
Warners Bay,"Warners Bay High School, 1 Myles Ave, WARNERS BAY NSW 2282"
Warners Bay Central,"Warners Bay Public School, 88 Mills St, WARNERS BAY NSW 2282"
Warners Bay North,"Lakelands Community Hall, 135 Ambleside Crct, LAKELANDS NSW 2282"
Whitebridge,"Whitebridge High School, 1 Lonus Ave, WHITEBRIDGE NSW 2290"
Windale,"Windale Public School, Kilfera St, WINDALE NSW 2306"
Wyong SHORTLAND PPVC,"Shop 4, 15 - 17 Anzac Rd, Shop 4, 15 - 17 Anzac Rd, TUGGERAH NSW 2259"
Alexandria,"Alexandria Town Hall, 73 Garden St, ALEXANDRIA NSW 2015"
Alexandria South,"Sydney Park Pavilion, Euston Rd, ALEXANDRIA NSW 2015"
Annandale (Sydney),"Annandale Public School, 25 Johnston St, ANNANDALE NSW 2038"
Barangaroo,"Sydney Masonic Centre, 66 Goulburn St, SYDNEY NSW 2000"
Beaconsfield,"One1seven Church Green Square, 182 Victoria St, BEACONSFIELD NSW 2015"
Camperdown,"Bridge Road School, 127 Parramatta Rd, CAMPERDOWN NSW 2050"
Camperdown South (Sydney),"Australia Street Infants School, 229 Australia St, NEWTOWN NSW 2042"
Central Sydney (Sydney),"TAFE NSW Ultimo Campus, 2-10 Mary Ann St, ULTIMO NSW 2007"
Central Sydney SYDNEY PPVC,"TAFE NSW Ultimo Campus, 2-10 Mary Ann St, ULTIMO NSW 2007"
Darlinghurst East (Sydney),"Darlinghurst Public School, cnr Womerah Ave & Liverpool St, DARLINGHURST NSW 2010"
Darlinghurst South,"COMA Gallery, First Floor, 71-73 Stanley St, DARLINGHURST NSW 2010"
Darlington,"Redfern Community Centre, 29 Hugo St, REDFERN NSW 2016"
Darlington Central,"Newtown North Public School, Newtown North Public School, 50 Carillon Ave, NEWTOWN NSW 2042"
Eastlakes SYDNEY PPVC,"Eastlakes Community Centre, 8-16 Florence Ave, EASTLAKES NSW 2018"
EAV COVID19 Sydney PPVC,"AEC National EAV2 Centre, 10 Mort St, CANBERRA ACT 2601"
EAV Sydney PPVC,"AEC National EAV Centre, 10 Mort St, CANBERRA ACT 2601"
Elizabeth Bay (Sydney),"Reginald Murphy Activity Centre, 19 Greenknowe Ave, ELIZABETH BAY NSW 2011"
Erskineville,"Erskineville Public School, 13 Swanson St, ERSKINEVILLE NSW 2043"
Erskineville North,"Erskineville Town Hall, 104 Erskineville Rd, ERSKINEVILLE NSW 2043"
Forest Lodge,"Forest Lodge Public School, cnr Bridge Rd & Ross St, FOREST LODGE NSW 2037"
Glebe,"Glebe Town Hall, 160 St Johns Rd, GLEBE NSW 2037"
Glebe East,"Peter Forsyth Auditorium, 3 Francis St, GLEBE NSW 2040"
Glebe North,"Sydney Secondary College (Blackwattle Bay Campus), Taylor St, GLEBE NSW 2037"
Glebe SYDNEY PPVC,"Harold Park Community Hall, 1 Dalgal Way, FOREST LODGE NSW 2037"
Glebe West,"St Scholastica's College, 4 Avenue Rd, GLEBE NSW 2037"
Haymarket SYDNEY PPVC,"Sydney Masonic Centre, 66 Goulburn St, SYDNEY NSW 2000"
Hyde Park,"Unitarian Church Hall, 1-15 Francis St, DARLINGHURST NSW 2010"
Kings Cross (Sydney),"St Johns' Anglican Church Hall, 120 Darlinghurst Rd, DARLINGHURST NSW 2010"
Kings Cross Central (Sydney),"Rex Centre, 58A Macleay St, ELIZABETH BAY NSW 2011"
Kings Cross SYDNEY PPVC,"Rex Centre, 58A Macleay St, ELIZABETH BAY NSW 2011"
